Station Name,LID,Modes of Transports
"Spicherer Weg, Saarbrücken","A=1@O=Spicherer Weg, Saarbrücken@X=6977292@Y=49211860@U=80@L=10047@",640
"HTW/SWS, Saarbrücken","A=1@O=HTW/SWS, Saarbrücken@X=6977957@Y=49233847@U=80@L=10049@",1152
"Ludwigstr., Saarbrücken Malstatt","A=1@O=Ludwigstr., Saarbrücken Malstatt@X=6978308@Y=49241192@U=80@L=10201@",64
"Am Brünnchen, Saarbrücken Malstatt","A=1@O=Am Brünnchen, Saarbrücken Malstatt@X=6978443@Y=49261157@U=80@L=10310@",128
"Am Torhaus, Saarbrücken Malstatt","A=1@O=Am Torhaus, Saarbrücken Malstatt@X=6979531@Y=49250522@U=80@L=10307@",1664
"Rußhütte, Saarbrücken Malstatt","A=1@O=Rußhütte, Saarbrücken Malstatt@X=6979593@Y=49261255@U=80@L=10309@",1664
"Am Schönental, Saarbrücken Malstatt","A=1@O=Am Schönental, Saarbrücken Malstatt@X=6979737@Y=49246873@U=80@L=10306@",1664
"Margaretenstift, Saarbrücken Malstatt","A=1@O=Margaretenstift, Saarbrücken Malstatt@X=6979881@Y=49249111@U=80@L=10312@",1664
"Schutzbergstr., Saarbrücken","A=1@O=Schutzbergstr., Saarbrücken@X=6980016@Y=49227636@U=80@L=10045@",1664
"Auf der Werth / Bürgerpark, Saarbrücken Malstatt","A=1@O=Auf der Werth / Bürgerpark, Saarbrücken Malstatt@X=6980394@Y=49239295@U=80@L=10204@",128
"Druckzentrum SZ, Saarbrücken","A=1@O=Druckzentrum SZ, Saarbrücken@X=6981445@Y=49211132@U=80@L=10020@",640
"Ludwigsberg, Saarbrücken Malstatt","A=1@O=Ludwigsberg, Saarbrücken Malstatt@X=6981670@Y=49243259@U=80@L=10401@",1664
"Am Versorgungshaus, Saarbrücken","A=1@O=Am Versorgungshaus, Saarbrücken@X=6982443@Y=49229964@U=80@L=10008@",1664
"Roonstr., Saarbrücken","A=1@O=Roonstr., Saarbrücken@X=6982623@Y=49234000@U=80@L=10043@",1152
"Steubenstr., Saarbrücken","A=1@O=Steubenstr., Saarbrücken@X=6982848@Y=49224445@U=80@L=10051@",1152
"ZF Tor 2, Saarbrücken","A=1@O=ZF Tor 2, Saarbrücken@X=6983207@Y=49214062@U=80@L=10053@",640
"Stadion Ludwigspark, Saarbrücken","A=1@O=Stadion Ludwigspark, Saarbrücken@X=6983522@Y=49249336@U=80@L=10412@",128
"Hohe Wacht, Saarbrücken","A=1@O=Hohe Wacht, Saarbrücken@X=6983747@Y=49220714@U=80@L=11031@",1152
"Keplerstr., Saarbrücken","A=1@O=Keplerstr., Saarbrücken@X=6984690@Y=49231861@U=80@L=10002@",1664
"Saarlandhalle, Saarbrücken","A=1@O=Saarlandhalle, Saarbrücken@X=6984699@Y=49249246@U=80@L=10420@",128
"Trierer Str., Saarbrücken","A=1@O=Trierer Str., Saarbrücken@X=6985904@Y=49240508@U=80@L=10603@",1728
"Sittersweg, Saarbrücken Malstatt","A=1@O=Sittersweg, Saarbrücken Malstatt@X=6985913@Y=49244940@U=80@L=10411@",1664
"40er Grab, Saarbrücken","A=1@O=40er Grab, Saarbrücken@X=6986201@Y=49223824@U=80@L=10005@",1664
"Schulstr., Engelfangen Püttlingen","A=1@O=Schulstr., Engelfangen Püttlingen@X=6900695@Y=49297140@U=80@L=16906@",128
"Kettelerstr., Püttlingen","A=1@O=Kettelerstr., Püttlingen@X=6900812@Y=49277625@U=80@L=16801@",128
"Kindertagesstätte, Axknöpfchen Püttlingen","A=1@O=Kindertagesstätte, Axknöpfchen Püttlingen@X=6900929@Y=49285347@U=80@L=16836@",128
"Dorfplatz, Herchenbach Püttlingen","A=1@O=Dorfplatz, Herchenbach Püttlingen@X=6901136@Y=49318355@U=80@L=16911@",128
"Kyllbergstr. 90, Herchenbach Püttlingen","A=1@O=Kyllbergstr. 90, Herchenbach Püttlingen@X=6901387@Y=49312952@U=80@L=16913@",128
"Kyllbergstr. 54, Herchenbach Püttlingen","A=1@O=Kyllbergstr. 54, Herchenbach Püttlingen@X=6901522@Y=49309995@U=80@L=16912@",128
"Abzw Oberwies, Köllerbach Püttlingen","A=1@O=Abzw Oberwies, Köllerbach Püttlingen@X=6901540@Y=49293005@U=80@L=16903@",128
"Ringstr., Püttlingen","A=1@O=Ringstr., Püttlingen@X=6902106@Y=49280178@U=80@L=16841@",128
"Sellerbach, Köllerbach Püttlingen","A=1@O=Sellerbach, Köllerbach Püttlingen@X=6902142@Y=49305563@U=80@L=16920@",128
"Zur Bergehalde, Ritterstraße Püttlingen","A=1@O=Zur Bergehalde, Ritterstraße Püttlingen@X=6904336@Y=49280106@U=80@L=16827@",128
"Baptist-Himbert-Str., Köllerbach Püttlingen","A=1@O=Baptist-Himbert-Str., Köllerbach Püttlingen@X=6904947@Y=49294848@U=80@L=16928@",128
"Bildchenstr., Püttlingen","A=1@O=Bildchenstr., Püttlingen@X=6904992@Y=49276600@U=80@L=16828@",128
"Abzw Almeshofen, Köllerbach Püttlingen","A=1@O=Abzw Almeshofen, Köllerbach Püttlingen@X=6905289@Y=49319479@U=80@L=16938@",128
"Abzw Bergmannsweg, Köllerbach Püttlingen","A=1@O=Abzw Bergmannsweg, Köllerbach Püttlingen@X=6905846@Y=49290848@U=80@L=16902@",128
"Kirchstr., Köllerbach Püttlingen","A=1@O=Kirchstr., Köllerbach Püttlingen@X=6906188@Y=49296421@U=80@L=16929@",128
"Bärenberg, Engelfangen Püttlingen","A=1@O=Bärenberg, Engelfangen Püttlingen@X=6906601@Y=49297958@U=80@L=16901@",128
"Oberwies, Engelfangen Püttlingen","A=1@O=Oberwies, Engelfangen Püttlingen@X=6907006@Y=49293832@U=80@L=16942@",128
"Siefen, Köllerbach Püttlingen","A=1@O=Siefen, Köllerbach Püttlingen@X=6907401@Y=49307954@U=80@L=16946@",128
"Walpershofer Str., Niedersalbach Heusweiler","A=1@O=Walpershofer Str., Niedersalbach Heusweiler@X=6908354@Y=49337880@U=80@L=15803@",640
"Siedlung, Ritterstraße Püttlingen","A=1@O=Siedlung, Ritterstraße Püttlingen@X=6908552@Y=49278856@U=80@L=16824@",128
"Beethovenstr., Köllerbach Püttlingen","A=1@O=Beethovenstr., Köllerbach Püttlingen@X=6908974@Y=49292853@U=80@L=16934@",128
"Sprenger Str., Niedersalbach Heusweiler","A=1@O=Sprenger Str., Niedersalbach Heusweiler@X=6909217@Y=49335506@U=80@L=15805@",640
"Etzenhofen Kapelle, Köllerbach Püttlingen","A=1@O=Etzenhofen Kapelle, Köllerbach Püttlingen@X=6909388@Y=49310849@U=80@L=16910@",128
